"","KO","Metabolism","Pathway","Subpathway","Name"
"431","K11808","Biosynthesis","Nucleotide biosynthesis","Nucleotide biosynthesis: purine","ADE2; phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21]"
"432","K13421","Biosynthesis","Nucleotide biosynthesis","Nucleotide biosynthesis: pyrimidine","UMPS; uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23]"
"433","K13713","Biosynthesis","Nucleotide biosynthesis","Nucleotide biosynthesis: purine","purCD; fusion protein PurCD [EC:6.3.2.6 6.3.4.13]"
"434","K13799","Biosynthesis","Nucleotide biosynthesis",NA,"panC-cmk; pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25]"
"435","K13800","Biosynthesis","Nucleotide biosynthesis",NA,"CMPK1, UMPK; UMP-CMP kinase [EC:2.7.4.14]"
"436","K13809","Biosynthesis","Nucleotide biosynthesis",NA,"CMPK2; UMP-CMP kinase 2, mitochondrial [EC:2.7.4.14]"
"437","K13998","Biosynthesis","Nucleotide biosynthesis",NA,"DHFR-TS; dihydrofolate reductase / thymidylate synthase [EC:1.5.1.3 2.1.1.45]"
"438","K15518","Biosynthesis","Nucleotide biosynthesis",NA,"dgk; deoxyguanosine kinase [EC:2.7.1.113]"
"439","K15519","Biosynthesis","Nucleotide biosynthesis",NA,"dck; deoxyadenosine/deoxycytidine kinase [EC:2.7.1.76 2.7.1.74]"
"440","K15780","Biosynthesis","Nucleotide biosynthesis",NA,"tilS-hprT; bifunctional protein TilS/HprT [EC:6.3.4.19 2.4.2.8]"
"441","K17828","Biosynthesis","Nucleotide biosynthesis","Nucleotide biosynthesis: pyrimidine","pyrDI; dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]"
"442","K18532","Biosynthesis","Nucleotide biosynthesis","Nucleotide biosynthesis: purine","AK6, FAP7; adenylate kinase [EC:2.7.4.3]"
"443","K18533","Biosynthesis","Nucleotide biosynthesis",NA,"AK9; adenylate/nucleoside-diphosphate kinase [EC:2.7.4.3 2.7.4.6]"
"444","K19836","Biosynthesis","Nucleotide biosynthesis",NA,"HPT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]"
"445","K21057","Biosynthesis","Nucleotide biosynthesis",NA,"E2.7.1.213; cytidine kinase [EC:2.7.1.213]"
"446","K21636","Biosynthesis","Nucleotide biosynthesis","Nucleotide biosynthesis: ribonucleotide","nrdD; ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]"
"447","K22026","Biosynthesis","Nucleotide biosynthesis",NA,"K22026; nucleoside kinase [EC:2.7.1.73 2.7.1.213 2.7.1.-]"
"448","K23264","Biosynthesis","Nucleotide biosynthesis","Nucleotide biosynthesis: purine","purS; phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3]"
"449","K23265","Biosynthesis","Nucleotide biosynthesis","Nucleotide biosynthesis: purine","purQ; phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]"
"450","K23269","Biosynthesis","Nucleotide biosynthesis","Nucleotide biosynthesis: purine","purL; phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]"
"451","K23270","Biosynthesis","Nucleotide biosynthesis","Nucleotide biosynthesis: purine","purSL; phosphoribosylformylglycinamidine synthase subunit PurSL [EC:6.3.5.3]"
"452","K25641","Biosynthesis","Nucleotide biosynthesis",NA,""
"453","K26211","Biosynthesis","Nucleotide biosynthesis",NA,""
"454","K26212","Biosynthesis","Nucleotide biosynthesis",NA,""
"455","K13657","Biosynthesis","EPS biosynthesis",NA,"gumH, aceA; alpha-1,3-mannosyltransferase [EC:2.4.1.252]"
"456","K13659","Biosynthesis","EPS biosynthesis",NA,"gumK; 2-beta-glucuronyltransferase [EC:2.4.1.264]"
"457","K03606","Biosynthesis","EPS biosynthesis",NA,"wcaJ; putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase"
"458","K16710","Biosynthesis","EPS biosynthesis",NA,"wcaK, amsJ; colanic acid/amylovoran biosynthesis protein"
"459","K16703","Biosynthesis","EPS biosynthesis",NA,"wcaL, amsK; colanic acid/amylovoran biosynthesis glycosyltransferase [EC:2.4.-.-]"
"460","K03208","Biosynthesis","EPS biosynthesis",NA,"wcaI; colanic acid biosynthesis glycosyl transferase WcaI"
"461","K03818","Biosynthesis","EPS biosynthesis",NA,"wcaF; putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]"
"462","K13683","Biosynthesis","EPS biosynthesis",NA,"wcaE; putative colanic acid biosynthesis glycosyltransferase [EC:2.4.-.-]"
"463","K03819","Biosynthesis","EPS biosynthesis",NA,"wcaB; putative colanic acid biosynthesis acetyltransferase WcaB [EC:2.3.1.-]"
"464","K25875","Biosynthesis","EPS biosynthesis",NA,""
"465","K13684","Biosynthesis","EPS biosynthesis",NA,"wcaC; putative colanic acid biosynthesis glycosyltransferase [EC:2.4.-.-]"
"466","K19290","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Alginate","alg8; mannuronan synthase [EC:2.4.1.33]"
"467","K19291","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Alginate","alg44; mannuronan synthase [EC:2.4.1.33]"
"468","K19292","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Alginate","algK; alginate biosynthesis protein AlgK"
"469","K19293","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Alginate","algX; alginate biosynthesis protein AlgX"
"470","K19294","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Alginate","algI; alginate O-acetyltransferase complex protein AlgI"
"471","K19295","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Alginate","algJ; alginate O-acetyltransferase complex protein AlgJ"
"472","K19296","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Alginate","algF; alginate O-acetyltransferase complex protein AlgF"
"473","K02851","Biosynthesis","EPS biosynthesis",NA,"wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]"
"474","K02852","Biosynthesis","EPS biosynthesis",NA,"wecG, rffM; UDP-N-acetyl-D-mannosaminouronate:lipid I N-acetyl-D-mannosaminouronosyltransferase [EC:2.4.1.180]"
"475","K12582","Biosynthesis","EPS biosynthesis",NA,"wecF, rffT; dTDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase [EC:2.4.1.325]"
"476","K20997","Biosynthesis","EPS biosynthesis",NA,"pslA; polysaccharide biosynthesis protein PslA"
"477","K25205","Biosynthesis","EPS biosynthesis",NA,""
"478","K20999","Biosynthesis","EPS biosynthesis",NA,"pslF; polysaccharide biosynthesis protein PslF"
"479","K21001","Biosynthesis","EPS biosynthesis",NA,"pslH; polysaccharide biosynthesis protein PslH"
"480","K21002","Biosynthesis","EPS biosynthesis",NA,"pslI; polysaccharide biosynthesis protein PslI"
"481","K11936","Biosynthesis","EPS biosynthesis",NA,"pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]"
"482","K21461","Biosynthesis","EPS biosynthesis",NA,"icaD; poly-beta-1,6-N-acetyl-D-glucosamine synthesis protein"
"483","K11937","Biosynthesis","EPS biosynthesis",NA,"pgaD; biofilm PGA synthesis protein PgaD"
"484","K00640","Biosynthesis","EPS biosynthesis",NA,"cysE; serine O-acetyltransferase [EC:2.3.1.30]"
"485","K20921","Biosynthesis","EPS biosynthesis",NA,"vpsD, epsF; polysaccharide biosynthesis protein VpsD"
"486","K20922","Biosynthesis","EPS biosynthesis",NA,"vpsI; polysaccharide biosynthesis protein VpsI"
"487","K25886","Biosynthesis","EPS biosynthesis",NA,""
"488","K25887","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Acetan/xanthan",""
"489","K25888","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Acetan/xanthan",""
"490","K25889","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Acetan/xanthan",""
"491","K25890","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Acetan/xanthan",""
"492","K25891","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Acetan/xanthan",""
"493","K25892","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Acetan/xanthan",""
"494","K13663","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Acetan/xanthan","gumF; acyltransferase [EC:2.3.1.-]"
"495","K13656","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Acetan/xanthan","gumD; undecaprenyl-phosphate glucose phosphotransferase [EC:2.7.8.31]"
"496","K13660","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Acetan/xanthan","gumM; beta-1,4-glucosyltransferase [EC:2.4.1.-]"
"497","K13658","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Acetan/xanthan","gumI; beta-1,4-mannosyltransferase [EC:2.4.1.251]"
"498","K13664","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Acetan/xanthan","gumG; acyltransferase [EC:2.3.1.-]"
"499","K13665","Biosynthesis","EPS biosynthesis","EPS biosynthesis: Acetan/xanthan","gumL; pyruvyltransferase"
"500","K16566","Biosynthesis","EPS biosynthesis",NA,"exoY; exopolysaccharide production protein ExoY"
"501","K16568","Biosynthesis","EPS biosynthesis",NA,"exoZ; exopolysaccharide production protein ExoZ"
"502","K16556","Biosynthesis","EPS biosynthesis",NA,"exoM; succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]"
"503","K16557","Biosynthesis","EPS biosynthesis",NA,"exoA; succinoglycan biosynthesis protein ExoA [EC:2.4.-.-]"
"504","K16558","Biosynthesis","EPS biosynthesis",NA,"exoL; succinoglycan biosynthesis protein ExoL [EC:2.-.-.-]"
"505","K16560","Biosynthesis","EPS biosynthesis",NA,"exoH; succinoglycan biosynthesis protein ExoH"
"506","K16562","Biosynthesis","EPS biosynthesis",NA,"exoW; succinoglycan biosynthesis protein ExoW [EC:2.4.-.-]"
"507","K16563","Biosynthesis","EPS biosynthesis",NA,"exoV; succinoglycan biosynthesis protein ExoV"
"508","K16564","Biosynthesis","EPS biosynthesis",NA,"exoU; succinoglycan biosynthesis protein ExoU [EC:2.4.-.-]"
"509","K16565","Biosynthesis","EPS biosynthesis",NA,"exoX; exopolysaccharide production repressor protein"
"510","K25902","Biosynthesis","EPS biosynthesis",NA,""
"511","K25903","Biosynthesis","EPS biosynthesis",NA,""
"512","K25904","Biosynthesis","EPS biosynthesis",NA,""
"513","K25905","Biosynthesis","EPS biosynthesis",NA,""
"514","K25906","Biosynthesis","EPS biosynthesis",NA,""
"515","K25907","Biosynthesis","EPS biosynthesis",NA,""
"516","K25908","Biosynthesis","EPS biosynthesis",NA,""
"517","K25909","Biosynthesis","EPS biosynthesis",NA,""
"518","K25910","Biosynthesis","EPS biosynthesis",NA,""
"519","K25911","Biosynthesis","EPS biosynthesis",NA,""
"520","K25912","Biosynthesis","EPS biosynthesis",NA,""
"521","K25913","Biosynthesis","EPS biosynthesis",NA,""
"522","K16701","Biosynthesis","EPS biosynthesis",NA,"amsD; amylovoran biosynthesis glycosyltransferase AmsD [EC:2.4.-.-]"
"523","K16707","Biosynthesis","EPS biosynthesis",NA,"amsG; UDP-galactose-lipid carrier transferase"
"524","K16702","Biosynthesis","EPS biosynthesis",NA,"amsE; amylovoran biosynthesis glycosyltransferase AmsE [EC:2.4.-.-]"
"525","K16700","Biosynthesis","EPS biosynthesis",NA,"amsB; amylovoran biosynthesis glycosyltransferase AmsB [EC:2.4.-.-]"
"526","K25957","Biosynthesis","EPS biosynthesis",NA,""
"527","K25958","Biosynthesis","EPS biosynthesis",NA,""
"528","K00694","Biosynthesis","EPS biosynthesis",NA,"bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]"
"529","K10999","Biosynthesis","EPS biosynthesis",NA,"CESA; cellulose synthase A [EC:2.4.1.12]"
"530","K20541","Biosynthesis","EPS biosynthesis",NA,"bcsB; cellulose synthase operon protein B"
"531","K20543","Biosynthesis","EPS biosynthesis",NA,"bcsC; cellulose synthase operon protein C"
"532","K06153","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]"
"533","K19302","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]"
"534","K02851","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]"
"535","K05946","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","tagA, tarA; N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]"
"536","K21285","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","tagB, tarB; teichoic acid glycerol-phosphate primase [EC:2.7.8.44]"
"537","K09809","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","tagF; CDP-glycerol glycerophosphotransferase [EC:2.7.8.12]"
"538","K00712","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","tagE; poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]"
"539","K03367","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","dltA; D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]"
"540","K14188","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","dltC; D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]"
"541","K03739","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","dltB; membrane protein involved in D-alanine export"
"542","K03740","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","dltD; D-alanine transfer protein"
"543","K01005","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"544","K21592","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","tarK; teichoic acid ribitol-phosphate primase [EC:2.7.8.46]"
"545","K21591","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","tarF; teichoic acid glycerol-phosphate transferase [EC:2.7.8.45]"
"546","K18704","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","tarL; CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]"
"547","K22709","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","tarQ; poly(ribitol-phosphate) beta-glucosyltransferase [EC:2.4.1.53]"
"548","K22710","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","tarM; poly(ribitol-phosphate) alpha-N-acetylglucosaminyltransferase [EC:2.4.1.70]"
"549","K22708","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","tarS; poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase [EC:2.4.1.355]"
"550","K25669","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"551","K03429","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","ugtP; processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]"
"552","K19005","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","ltaS; lipoteichoic acid synthase [EC:2.7.8.20]"
"553","K25617","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"554","K25619","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"555","K19002","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","mgs, bgsB; 1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337]"
"556","K13678","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","cpoA; 1,2-diacylglycerol-3-alpha-glucose alpha-1,2-galactosyltransferase [EC:2.4.1.-]"
"557","K25559","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"558","K25618","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"559","K25620","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"560","K24300","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"561","K25626","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"562","K25627","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"563","K25650","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"564","K25651","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"565","K25652","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"566","K25653","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"567","K25657","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"568","K25658","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"569","K07271","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid","licD; lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]"
"570","K25654","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"571","K25659","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"572","K25660","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"573","K25599","Biosynthesis","Teichoic acid biosynthesis","Teichoic acid biosynthesis: from UND-PP to wall teichoic acid",""
"574","K00075","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]"
"575","K00621","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]"
"576","K00790","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]"
"577","K00820","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"
"578","K00972","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","UAP1; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]"
"579","K00992","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]"
"580","K01791","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]"
"581","K01836","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","PGM3; phosphoacetylglucosamine mutase [EC:5.4.2.3]"
"582","K02473","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","wbpP; UDP-N-acetylglucosamine 4-epimerase [EC:5.1.3.7]"
"583","K02474","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]"
"584","K03431","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","glmM; phosphoglucosamine mutase [EC:5.4.2.10]"
"585","K04042","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]"
"586","K07102","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","amgK; N-acetylmuramate 1-kinase [EC:2.7.1.221]"
"587","K07106","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]"
"588","K08086","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","fimV; pilus assembly protein FimV"
"589","K11528","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","glmU; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]"
"590","K12409","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","GNE; bifunctional UDP-N-acetylglucosamine 2-epimerase / N-acetylmannosamine kinase [EC:3.2.1.183 2.7.1.60]"
"591","K13015","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]"
"592","K15894","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","pseB; UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.115]"
"593","K15912","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","pglF; UDP-N-acetyl-D-glucosamine 4,6-dehydratase [EC:4.2.1.135]"
"594","K22292","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","mupP; N-acetyl-D-muramate 6-phosphate phosphatase [EC:3.1.3.105]"
"595","K22926","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Aminosugar production","tviB, vipA; UDP-N-acetylglucosamine 6-dehydrogenase [EC:1.1.1.136]"
"596","K01921","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]"
"597","K00887","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","dgkA; undecaprenol kinase [EC:2.7.1.66]"
"598","K00806","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]"
"599","K06153","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]"
"600","K19302","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]"
"601","K01924","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]"
"602","K01925","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]"
"603","K01928","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]"
"604","K01929","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]"
"605","K01000","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]"
"606","K02563","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]"
"607","K07009","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","gatD; lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]"
"608","K12554","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","murN; alanine adding enzyme [EC:2.3.2.-]"
"609","K23169","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","murD2; UDP-N-acetylmuramoyl-L-alanine---L-glutamate ligase [EC:6.3.2.53]"
"610","K23170","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","murL; UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-L-glutamate epimerase [EC:5.1.1.23]"
"611","K05362","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7]"
"612","K01798","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis",""
"613","K23393","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","murT; lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]"
"614","K11693","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","femX, fmhB; peptidoglycan pentaglycine glycine transferase (the first glycine) [EC:2.3.2.16]"
"615","K11694","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","femA; peptidoglycan pentaglycine glycine transferase (the second and third glycine) [EC:2.3.2.17]"
"616","K11695","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","femB; peptidoglycan pentaglycine glycine transferase (the fourth and fifth glycine) [EC:2.3.2.18]"
"617","K15792","Biosynthesis","Peptidoglycan biosynthesis","Peptidoglycan biosynthesis: Peptidoglycan unit synthesis","murEF; murE/murF fusion protein [EC:6.3.2.13 6.3.2.10]"
